Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,68,6351,5080,3372,143,717,13,554,1875,299,1223
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia,68,6351,5080,3372,143,717,13,554,1875,299,1223
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets,16,1111,675,507,69,107,1,329,1355,296,1214
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\contextMenu,2,109,59,49,1,6,0,44,148,44,148
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\gridSystem,1,312,222,153,0,62,0,28,136,28,136
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers,1,75,60,44,17,1,0,14,123,14,123
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader,2,93,34,28,1,3,0,56,244,56,244
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\month,1,101,82,52,38,3,0,16,54,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\randomSubtle,1,19,7,5,0,3,0,9,54,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollSpy,2,159,91,80,5,12,0,56,242,56,242
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollTop,2,93,53,44,4,6,0,34,116,34,116
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\showErrors,1,16,5,3,0,3,0,8,26,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\smoothScroll,1,33,18,13,3,1,1,14,62,14,55
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\tabs,2,101,44,36,0,7,0,50,150,50,150
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\css,2,1479,1244,1032,0,208,4,27,73,1,3
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js,14,1303,1119,732,35,112,7,72,171,2,6
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others,2,41,40,13,2,1,1,0,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others\Desktop app project,2,41,40,13,2,1,1,0,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php,23,1192,913,810,37,153,0,126,271,0,0
